provincia,departamento,2021,2022,2023
Buenos Aires,Bolívar,36108,36244,36378
Buenos Aires,Bragado,42184,42223,42262
Buenos Aires,Brandsen,31442,31856,32263
Buenos Aires,Campana,106522,107480,108423
Buenos Aires,Cañuelas,63923,64913,65888
Buenos Aires,Capitán Sarmiento,16553,16718,16881
Buenos Aires,Carlos Casares,23824,23941,24059
Buenos Aires,Carlos Tejedor,11669,11669,11667
Buenos Aires,Carmen de Areco,15629,15697,15765
Buenos Aires,Castelli,8708,8744,8781
Buenos Aires,Chacabuco,52971,53298,53620
Buenos Aires,Chascomús,47141,47524,47902
Buenos Aires,Chivilcoy,68758,69099,69435
Buenos Aires,Colón,27264,27447,27629
Buenos Aires,Coronel de Marina Leonardo Rosales,63581,63654,63725
Buenos Aires,Coronel Dorrego,15141,15070,15000
Buenos Aires,Coronel Pringles,22089,21999,21910
Buenos Aires,Coronel Suárez,40474,40627,40778
Buenos Aires,Daireaux,18314,18422,18530
Buenos Aires,Dolores,28849,28982,29113
Buenos Aires,Ensenada,62214,62638,63057
Buenos Aires,Escobar,258805,262495,266121
Buenos Aires,Exaltación de la Cruz,37161,37766,38364
Buenos Aires,Florentino Ameghino,9711,9776,9839
Buenos Aires,General Alvarado,44546,44938,45326
Buenos Aires,General Alvear,11503,11524,11546
Buenos Aires,General Arenales,15062,15064,15066
Buenos Aires,General Belgrano,19461,19627,19790
Buenos Aires,General Guido,2897,2901,2906
Buenos Aires,General Juan Madariaga,21755,21912,22065
Buenos Aires,General La Madrid,10619,10596,10573
Buenos Aires,General Las Heras,17639,17863,18083
Buenos Aires,General Lavalle,4528,4596,4663
Buenos Aires,General Paz,11806,11849,11891
Buenos Aires,General Pinto,11521,11534,11547
Buenos Aires,General Pueyrredón,659462,662430,665357
Buenos Aires,General Rodríguez,111759,113795,115802
Buenos Aires,General Viamonte,18807,18855,18903
Buenos Aires,General Villegas,33501,33701,33899
Buenos Aires,Guaminí,12646,12707,12766
Buenos Aires,Hipólito Yrigoyen,10318,10373,10427
Buenos Aires,Junín,93440,93497,93553
Buenos Aires,La Costa,79341,80118,80883
Buenos Aires,La Plata,719013,724010,728912
Buenos Aires,Laprida,10962,11018,11074
Buenos Aires,Las Flores,24410,24436,24462
Buenos Aires,Leandro N. Alem,17489,17534,17580
Buenos Aires,Lincoln,42323,42333,42342
Buenos Aires,Lobería,18338,18393,18447
Buenos Aires,Lobos,40225,40544,40858
Buenos Aires,Luján,120998,122174,123334
Buenos Aires,Magdalena,20729,20842,20953
Buenos Aires,Maipú,10402,10419,10435
Buenos Aires,Mar Chiquita,25712,26075,26432
Buenos Aires,Marcos Paz,67586,68691,69780
Buenos Aires,Mercedes,68165,68532,68895
Buenos Aires,Monte,24198,24485,24796
Buenos Aires,Monte Hermoso,7468,7546,7621
Buenos Aires,Navarro,18301,18394,18485
Buenos Aires,Necochea,96204,96410,96614
Buenos Aires,9 de Julio,48838,48896,48952
Buenos Aires,Olavarría,120858,121552,122236
Buenos Aires,Patagones,32146,32288,32427
Buenos Aires,Pehuajó,41564,41686,41805
Buenos Aires,Pellegrini,6072,6085,6099
Buenos Aires,Pergamino,110435,110854,111266
Buenos Aires,Pila,3994,4021,4048
Buenos Aires,Pilar,385426,392587,399645
Buenos Aires,Pinamar,32119,32646,33166
Buenos Aires,Presidente Perón,108203,110457,112680
Buenos Aires,Puán,14972,14891,14811
Buenos Aires,Punta Indio,10635,10692,10747
Buenos Aires,Ramallo,38180,38595,39003
Buenos Aires,Rauch,16246,16325,16404
Buenos Aires,Rivadavia,17184,17247,17307
Buenos Aires,Rojas,24401,24465,24529
Buenos Aires,Roque Pérez,13998,14129,14259
Buenos Aires,Saavedra,22037,22130,22221
Buenos Aires,Saladillo,35533,35802,36066
Buenos Aires,Salto,37179,37541,37897
Buenos Aires,Salliqueló,8819,8829,8840
Buenos Aires,San Andrés de Giles,25981,26216,26448
Buenos Aires,San Antonio de Areco,25431,25610,25785
Buenos Aires,San Cayetano,8827,8857,8887
Buenos Aires,San Nicolás,156069,156827,157575
Buenos Aires,San Pedro,64066,64450,64827
Buenos Aires,San Vicente,78791,80398,81983
Buenos Aires,Suipacha,11637,11763,11886
Buenos Aires,Tandil,140657,141996,143314
Buenos Aires,Tapalqué,10183,10262,10340
Buenos Aires,Tordillo,1809,1812,1814
Buenos Aires,Tornquist,14047,14150,14251
Buenos Aires,Trenque Lauquen,46954,47256,47554
Buenos Aires,Tres Arroyos,57660,57689,57720
Buenos Aires,Tres Lomas,8872,8906,8939
Buenos Aires,25 de Mayo,37156,37240,37323
Buenos Aires,Villa Gesell,38606,39170,39726
Buenos Aires,Villarino,36790,37258,37719
Buenos Aires,Zárate,129309,130506,131686
Ciudad Autonoma de Buenos Aires,Comuna 01,257235,257934,258497
Ciudad Autonoma de Buenos Aires,Comuna 02,149371,149337,149328
Ciudad Autonoma de Buenos Aires,Comuna 03,193425,193560,193682
Ciudad Autonoma de Buenos Aires,Comuna 04,240437,240716,240937
Ciudad Autonoma de Buenos Aires,Comuna 05,187670,187800,187907
Ciudad Autonoma de Buenos Aires,Comuna 06,185620,185760,185875
Ciudad Autonoma de Buenos Aires,Comuna 07,242188,242460,242674
Ciudad Autonoma de Buenos Aires,Comuna 08,229541,230018,230380
Ciudad Autonoma de Buenos Aires,Comuna 09,171444,171600,171733
Ciudad Autonoma de Buenos Aires,Comuna 10,170677,170750,170811
Ciudad Autonoma de Buenos Aires,Comuna 11,190105,190135,190165
Ciudad Autonoma de Buenos Aires,Comuna 12,215002,215189,215335
Ciudad Autonoma de Buenos Aires,Comuna 13,236468,236566,236650
Ciudad Autonoma de Buenos Aires,Comuna 14,227168,227219,227268
Ciudad Autonoma de Buenos Aires,Comuna 15,182485,182506,182528
Jujuy,Cochinoca,13647,13699,13747
Jujuy,Dr. Manuel Belgrano,312671,316474,320238
Jujuy,El Carmen,118397,120222,122041
Jujuy,Humahuaca,18771,18847,18917
Jujuy,Ledesma,89823,90315,90783
Jujuy,Palpalá,60614,61220,61814
Jujuy,Rinconada,2943,2987,3034
Jujuy,San Antonio,5808,5933,6059
Jujuy,San Pedro,82305,82747,83167
Jujuy,Santa Bárbara,19185,19264,19337
Jujuy,Santa Catalina,2597,2577,2555
Jujuy,Susques,4151,4172,4194
Jujuy,Tilcara,15713,16019,16326
Jujuy,Tumbaya,4962,4975,4987
Jujuy,Valle Grande,2628,2637,2644
Jujuy,Yavi,24997,25348,25696
